price|quantity|type|timestamp
37414000|0.1425|1|2023-05-08 19:08:57
37416000|0.0152|1|2023-05-08 19:08:57
37419000|0.0051|1|2023-05-08 19:08:57
37409000|0.039|0|2023-05-08 19:08:58
37405000|0.01|0|2023-05-08 19:08:58
37401000|0.0881|0|2023-05-08 19:08:58
37398000|0.1401|0|2023-05-08 19:08:58
37397000|0.0635|0|2023-05-08 19:08:58
37411000|0.032|1|2023-05-08 19:08:58
37412000|0.0788|1|2023-05-08 19:08:58
37414000|0.1425|1|2023-05-08 19:08:58
37416000|0.0152|1|2023-05-08 19:08:58
37419000|0.0051|1|2023-05-08 19:08:58
37405000|0.01|0|2023-05-08 19:08:59
37398000|0.0998|0|2023-05-08 19:08:59
37397000|0.0635|0|2023-05-08 19:08:59
37395000|0.01|0|2023-05-08 19:08:59
37394000|0.0832|0|2023-05-08 19:08:59
37411000|0.1163|1|2023-05-08 19:08:59
37412000|0.0788|1|2023-05-08 19:08:59
37414000|0.1425|1|2023-05-08 19:08:59
37416000|0.0152|1|2023-05-08 19:08:59
37417000|0.0391|1|2023-05-08 19:08:59
37398000|0.0998|0|2023-05-08 19:09:00
37395000|0.01|0|2023-05-08 19:09:00
37394000|0.0832|0|2023-05-08 19:09:00
37393000|0.057|0|2023-05-08 19:09:00
37392000|1.4436|0|2023-05-08 19:09:00
37414000|0.1254|1|2023-05-08 19:09:00
37416000|0.0152|1|2023-05-08 19:09:00
37417000|0.0391|1|2023-05-08 19:09:00
37419000|0.0051|1|2023-05-08 19:09:00
37420000|0.1156|1|2023-05-08 19:09:00
37398000|0.0998|0|2023-05-08 19:09:01
37395000|0.01|0|2023-05-08 19:09:01
37394000|0.0832|0|2023-05-08 19:09:01
37393000|0.057|0|2023-05-08 19:09:01
37392000|1.4436|0|2023-05-08 19:09:01
37414000|0.1254|1|2023-05-08 19:09:01
37416000|0.0152|1|2023-05-08 19:09:01
37417000|0.0391|1|2023-05-08 19:09:01
37419000|0.0051|1|2023-05-08 19:09:01
37420000|0.1156|1|2023-05-08 19:09:01
37398000|0.0998|0|2023-05-08 19:09:02
37395000|0.01|0|2023-05-08 19:09:02
37394000|0.0832|0|2023-05-08 19:09:02
37393000|0.057|0|2023-05-08 19:09:02
37392000|1.4436|0|2023-05-08 19:09:02
37414000|0.1254|1|2023-05-08 19:09:02
37416000|0.0152|1|2023-05-08 19:09:02
37417000|0.0391|1|2023-05-08 19:09:02
37419000|0.0051|1|2023-05-08 19:09:02
37420000|1.4076|1|2023-05-08 19:09:02
37398000|0.0998|0|2023-05-08 19:09:03
37395000|0.0152|0|2023-05-08 19:09:03
37394000|0.0832|0|2023-05-08 19:09:03
37393000|0.057|0|2023-05-08 19:09:03
37392000|1.4436|0|2023-05-08 19:09:03
37414000|0.1254|1|2023-05-08 19:09:03
37416000|0.0152|1|2023-05-08 19:09:03
37417000|0.0391|1|2023-05-08 19:09:03
37419000|0.0051|1|2023-05-08 19:09:03
37420000|1.4076|1|2023-05-08 19:09:03
37398000|0.0998|0|2023-05-08 19:09:04
37395000|0.0152|0|2023-05-08 19:09:04
37394000|0.0832|0|2023-05-08 19:09:04
37393000|0.057|0|2023-05-08 19:09:04
37392000|1.4436|0|2023-05-08 19:09:04
37414000|0.1254|1|2023-05-08 19:09:04
37416000|0.0152|1|2023-05-08 19:09:04
37417000|0.0391|1|2023-05-08 19:09:04
37419000|0.0051|1|2023-05-08 19:09:04
37420000|1.4076|1|2023-05-08 19:09:04
37398000|0.0998|0|2023-05-08 19:09:05
37395000|0.0152|0|2023-05-08 19:09:05
37394000|0.1239|0|2023-05-08 19:09:05
37393000|0.057|0|2023-05-08 19:09:05
37392000|1.4436|0|2023-05-08 19:09:05
37414000|0.1254|1|2023-05-08 19:09:05
37416000|0.0152|1|2023-05-08 19:09:05
37417000|0.0391|1|2023-05-08 19:09:05
37419000|0.0051|1|2023-05-08 19:09:05
37420000|1.4076|1|2023-05-08 19:09:05
37398000|0.0998|0|2023-05-08 19:09:06
37395000|0.0152|0|2023-05-08 19:09:06
37394000|0.1239|0|2023-05-08 19:09:06
37393000|0.057|0|2023-05-08 19:09:06
37392000|1.4436|0|2023-05-08 19:09:06
37414000|0.1254|1|2023-05-08 19:09:06
37416000|0.0152|1|2023-05-08 19:09:06
37417000|0.0391|1|2023-05-08 19:09:06
37419000|0.0051|1|2023-05-08 19:09:06
37420000|1.4076|1|2023-05-08 19:09:06
37398000|0.0998|0|2023-05-08 19:09:07
37395000|0.0152|0|2023-05-08 19:09:07
37394000|0.1239|0|2023-05-08 19:09:07
37393000|0.057|0|2023-05-08 19:09:07
37392000|1.4436|0|2023-05-08 19:09:07
37414000|0.1254|1|2023-05-08 19:09:07
37416000|0.0152|1|2023-05-08 19:09:07
37417000|0.0391|1|2023-05-08 19:09:07
37419000|0.0051|1|2023-05-08 19:09:07
37420000|1.4076|1|2023-05-08 19:09:07
37398000|0.0998|0|2023-05-08 19:09:08
37395000|0.0152|0|2023-05-08 19:09:08
37394000|0.1239|0|2023-05-08 19:09:08
37393000|0.057|0|2023-05-08 19:09:08
37392000|1.4436|0|2023-05-08 19:09:08
37414000|0.1254|1|2023-05-08 19:09:08
37416000|0.0152|1|2023-05-08 19:09:08
37417000|0.0391|1|2023-05-08 19:09:08
37419000|0.0051|1|2023-05-08 19:09:08
37420000|1.4076|1|2023-05-08 19:09:08
37398000|0.0998|0|2023-05-08 19:09:09
37395000|0.0152|0|2023-05-08 19:09:09
37394000|0.1239|0|2023-05-08 19:09:09
37393000|0.057|0|2023-05-08 19:09:09
37392000|1.4436|0|2023-05-08 19:09:09
37414000|0.1254|1|2023-05-08 19:09:09
37416000|0.0152|1|2023-05-08 19:09:09
37417000|0.0391|1|2023-05-08 19:09:09
37419000|0.0051|1|2023-05-08 19:09:09
37420000|1.4076|1|2023-05-08 19:09:09
37398000|0.0998|0|2023-05-08 19:09:10
37395000|0.0152|0|2023-05-08 19:09:10
37394000|0.1239|0|2023-05-08 19:09:10
37393000|0.057|0|2023-05-08 19:09:10
37392000|1.4436|0|2023-05-08 19:09:10
37414000|0.1254|1|2023-05-08 19:09:10
37416000|0.0152|1|2023-05-08 19:09:10
37417000|0.0391|1|2023-05-08 19:09:10
37419000|0.0051|1|2023-05-08 19:09:10
37420000|1.4076|1|2023-05-08 19:09:10
37398000|0.0998|0|2023-05-08 19:09:11
37395000|0.0152|0|2023-05-08 19:09:11
37394000|0.1239|0|2023-05-08 19:09:11
37393000|0.057|0|2023-05-08 19:09:11
37392000|1.4436|0|2023-05-08 19:09:11
37414000|0.1254|1|2023-05-08 19:09:11
37416000|0.0152|1|2023-05-08 19:09:11
37417000|0.0391|1|2023-05-08 19:09:11
37419000|0.0051|1|2023-05-08 19:09:11
37420000|1.4076|1|2023-05-08 19:09:11
37398000|0.0998|0|2023-05-08 19:09:12
37395000|0.0152|0|2023-05-08 19:09:12
37394000|0.1239|0|2023-05-08 19:09:12
37393000|0.057|0|2023-05-08 19:09:12
37392000|1.4436|0|2023-05-08 19:09:12
37414000|0.1254|1|2023-05-08 19:09:12
37416000|0.0152|1|2023-05-08 19:09:12
37417000|0.0391|1|2023-05-08 19:09:12
37419000|0.0051|1|2023-05-08 19:09:12
37420000|1.4076|1|2023-05-08 19:09:12
37404000|0.0838|0|2023-05-08 19:09:13
37402000|0.0608|0|2023-05-08 19:09:13
37400000|0.0898|0|2023-05-08 19:09:13
37398000|0.164|0|2023-05-08 19:09:13
37397000|0.0406|0|2023-05-08 19:09:13
37416000|0.0152|1|2023-05-08 19:09:13
37418000|0.0868|1|2023-05-08 19:09:13
37419000|0.0051|1|2023-05-08 19:09:13
37420000|0.1156|1|2023-05-08 19:09:13
37421000|0.0018|1|2023-05-08 19:09:13
37407000|0.104|0|2023-05-08 19:09:14
37405000|0.0625|0|2023-05-08 19:09:14
37404000|0.1291|0|2023-05-08 19:09:14
37402000|0.0083|0|2023-05-08 19:09:14
37401000|0.1025|0|2023-05-08 19:09:14
37419000|0.0051|1|2023-05-08 19:09:14
37420000|0.1076|1|2023-05-08 19:09:14
37421000|0.0018|1|2023-05-08 19:09:14
37422000|0.0644|1|2023-05-08 19:09:14
37423000|0.0487|1|2023-05-08 19:09:14
37409000|0.1365|0|2023-05-08 19:09:15
37408000|0.0649|0|2023-05-08 19:09:15
37407000|0.104|0|2023-05-08 19:09:15
37404000|0.0894|0|2023-05-08 19:09:15
37402000|0.0083|0|2023-05-08 19:09:15
37420000|0.1076|1|2023-05-08 19:09:15
37421000|0.0018|1|2023-05-08 19:09:15
37422000|0.0152|1|2023-05-08 19:09:15
37423000|0.0487|1|2023-05-08 19:09:15
37424000|0.0761|1|2023-05-08 19:09:15
37421000|0.0581|0|2023-05-08 19:09:16
37420000|0.0132|0|2023-05-08 19:09:16
37419000|0.0004|0|2023-05-08 19:09:16
37413000|0.0056|0|2023-05-08 19:09:16
37412000|0.1239|0|2023-05-08 19:09:16
37422000|0.0152|1|2023-05-08 19:09:16
37423000|0.0487|1|2023-05-08 19:09:16
37424000|0.0152|1|2023-05-08 19:09:16
37425000|0.0893|1|2023-05-08 19:09:16
37428000|0.0512|1|2023-05-08 19:09:16
37421000|0.0581|0|2023-05-08 19:09:17
37420000|0.0132|0|2023-05-08 19:09:17
37415000|0.0851|0|2023-05-08 19:09:17
37413000|0.0056|0|2023-05-08 19:09:17
37412000|0.1239|0|2023-05-08 19:09:17
37422000|0.0152|1|2023-05-08 19:09:17
37424000|0.0152|1|2023-05-08 19:09:17
37428000|0.0512|1|2023-05-08 19:09:17
37429000|0.1505|1|2023-05-08 19:09:17
37431000|0.1359|1|2023-05-08 19:09:17
37421000|0.0581|0|2023-05-08 19:09:18
37420000|0.0132|0|2023-05-08 19:09:18
37415000|0.1005|0|2023-05-08 19:09:18
37413000|0.0056|0|2023-05-08 19:09:18
37412000|0.1239|0|2023-05-08 19:09:18
37422000|0.0016|1|2023-05-08 19:09:18
37424000|0.0152|1|2023-05-08 19:09:18
37428000|0.0512|1|2023-05-08 19:09:18
37429000|0.1505|1|2023-05-08 19:09:18
37431000|0.1359|1|2023-05-08 19:09:18
37421000|0.0581|0|2023-05-08 19:09:19
37420000|0.0132|0|2023-05-08 19:09:19
37415000|0.1005|0|2023-05-08 19:09:19
37413000|0.0056|0|2023-05-08 19:09:19
37412000|0.1239|0|2023-05-08 19:09:19
37422000|0.0016|1|2023-05-08 19:09:19
37424000|0.0152|1|2023-05-08 19:09:19
37428000|0.0512|1|2023-05-08 19:09:19
37429000|0.1505|1|2023-05-08 19:09:19
37431000|0.1359|1|2023-05-08 19:09:19
37415000|0.1005|0|2023-05-08 19:09:20
37413000|0.0056|0|2023-05-08 19:09:20
37412000|0.1239|0|2023-05-08 19:09:20
37411000|0.0645|0|2023-05-08 19:09:20
37410000|0.1116|0|2023-05-08 19:09:20
37422000|0.0016|1|2023-05-08 19:09:20
37424000|0.0152|1|2023-05-08 19:09:20
37428000|0.0512|1|2023-05-08 19:09:20
37429000|0.1505|1|2023-05-08 19:09:20
37431000|0.1359|1|2023-05-08 19:09:20
37415000|0.1005|0|2023-05-08 19:09:21
37413000|0.0056|0|2023-05-08 19:09:21
37412000|0.1239|0|2023-05-08 19:09:21
37411000|0.0645|0|2023-05-08 19:09:21
37410000|0.1116|0|2023-05-08 19:09:21
37422000|0.0016|1|2023-05-08 19:09:21
37424000|0.0152|1|2023-05-08 19:09:21
37428000|0.0512|1|2023-05-08 19:09:21
37429000|0.1505|1|2023-05-08 19:09:21
37431000|0.1359|1|2023-05-08 19:09:21
37413000|0.0056|0|2023-05-08 19:09:22
37411000|0.0645|0|2023-05-08 19:09:22
37410000|0.0572|0|2023-05-08 19:09:22
37408000|0.0448|0|2023-05-08 19:09:22
37407000|0.104|0|2023-05-08 19:09:22
37415000|0.0851|1|2023-05-08 19:09:22
37420000|0.0899|1|2023-05-08 19:09:22
37422000|0.0159|1|2023-05-08 19:09:22
37423000|0.0837|1|2023-05-08 19:09:22
37424000|0.0152|1|2023-05-08 19:09:22
37407000|0.0793|0|2023-05-08 19:09:23
37405000|0.0878|0|2023-05-08 19:09:23
37404000|0.0056|0|2023-05-08 19:09:23
37401000|0.1025|0|2023-05-08 19:09:23
37399000|0.0868|0|2023-05-08 19:09:23
37415000|0.0851|1|2023-05-08 19:09:23
37417000|0.0899|1|2023-05-08 19:09:23
37418000|0.0081|1|2023-05-08 19:09:23
37420000|0.138|1|2023-05-08 19:09:23
37422000|0.0971|1|2023-05-08 19:09:23
37407000|0.0153|0|2023-05-08 19:09:24
37405000|0.0878|0|2023-05-08 19:09:24
37404000|0.0056|0|2023-05-08 19:09:24
37401000|0.1025|0|2023-05-08 19:09:24
37399000|0.0868|0|2023-05-08 19:09:24
37415000|0.0851|1|2023-05-08 19:09:24
37417000|0.0899|1|2023-05-08 19:09:24
37418000|0.0081|1|2023-05-08 19:09:24
37420000|0.2004|1|2023-05-08 19:09:24
37422000|0.0971|1|2023-05-08 19:09:24
37407000|0.0153|0|2023-05-08 19:09:25
37405000|0.0878|0|2023-05-08 19:09:25
37404000|0.0056|0|2023-05-08 19:09:25
37401000|0.1664|0|2023-05-08 19:09:25
37399000|0.0868|0|2023-05-08 19:09:25
37415000|0.0851|1|2023-05-08 19:09:25
37417000|0.0899|1|2023-05-08 19:09:25
37418000|0.0081|1|2023-05-08 19:09:25
37420000|0.2004|1|2023-05-08 19:09:25
37422000|0.0971|1|2023-05-08 19:09:25
37407000|0.0153|0|2023-05-08 19:09:26
37405000|0.0878|0|2023-05-08 19:09:26
37404000|0.0056|0|2023-05-08 19:09:26
37401000|0.1664|0|2023-05-08 19:09:26
37399000|0.0868|0|2023-05-08 19:09:26
37415000|0.0851|1|2023-05-08 19:09:26
37417000|0.0899|1|2023-05-08 19:09:26
37418000|0.0081|1|2023-05-08 19:09:26
37420000|0.2004|1|2023-05-08 19:09:26
37422000|0.0971|1|2023-05-08 19:09:26
37407000|0.0153|0|2023-05-08 19:09:27
37405000|0.0878|0|2023-05-08 19:09:27
37404000|0.0056|0|2023-05-08 19:09:27
37401000|0.1664|0|2023-05-08 19:09:27
37399000|0.0868|0|2023-05-08 19:09:27
37415000|0.0851|1|2023-05-08 19:09:27
37417000|0.0899|1|2023-05-08 19:09:27
37418000|0.0081|1|2023-05-08 19:09:27
37420000|0.2004|1|2023-05-08 19:09:27
37422000|0.0971|1|2023-05-08 19:09:27
37407000|0.0153|0|2023-05-08 19:09:28
37405000|0.0878|0|2023-05-08 19:09:28
37404000|0.0056|0|2023-05-08 19:09:28
37401000|0.1664|0|2023-05-08 19:09:28
37399000|0.0868|0|2023-05-08 19:09:28
37415000|0.0851|1|2023-05-08 19:09:28
37417000|0.0899|1|2023-05-08 19:09:28
37418000|0.0081|1|2023-05-08 19:09:28
37420000|0.2004|1|2023-05-08 19:09:28
37422000|0.0971|1|2023-05-08 19:09:28
37407000|0.0153|0|2023-05-08 19:09:29
37405000|0.0878|0|2023-05-08 19:09:29
37404000|0.0056|0|2023-05-08 19:09:29
37401000|0.1664|0|2023-05-08 19:09:29
37399000|0.0868|0|2023-05-08 19:09:29
37415000|0.1451|1|2023-05-08 19:09:29
37417000|0.0899|1|2023-05-08 19:09:29
37418000|0.0081|1|2023-05-08 19:09:29
37420000|0.1523|1|2023-05-08 19:09:29
37422000|0.0971|1|2023-05-08 19:09:29
37407000|0.0153|0|2023-05-08 19:09:30
37405000|0.0878|0|2023-05-08 19:09:30
37404000|0.0056|0|2023-05-08 19:09:30
37401000|0.1664|0|2023-05-08 19:09:30
37399000|0.0868|0|2023-05-08 19:09:30
37415000|0.1451|1|2023-05-08 19:09:30
37417000|0.0899|1|2023-05-08 19:09:30
37418000|0.0081|1|2023-05-08 19:09:30
37420000|0.0899|1|2023-05-08 19:09:30
37422000|0.0971|1|2023-05-08 19:09:30
37407000|0.0153|0|2023-05-08 19:09:31
37405000|0.0878|0|2023-05-08 19:09:31
37404000|0.0056|0|2023-05-08 19:09:31
37401000|0.1664|0|2023-05-08 19:09:31
37399000|0.0868|0|2023-05-08 19:09:31
37415000|0.1451|1|2023-05-08 19:09:31
37417000|0.0899|1|2023-05-08 19:09:31
37418000|0.0081|1|2023-05-08 19:09:31
37420000|0.0899|1|2023-05-08 19:09:31
37422000|0.0971|1|2023-05-08 19:09:31
37407000|0.0153|0|2023-05-08 19:09:32
37405000|0.0878|0|2023-05-08 19:09:32
37404000|0.0056|0|2023-05-08 19:09:32
37401000|0.1664|0|2023-05-08 19:09:32
37399000|0.0868|0|2023-05-08 19:09:32
37415000|0.1451|1|2023-05-08 19:09:32
37417000|0.0899|1|2023-05-08 19:09:32
37418000|0.0081|1|2023-05-08 19:09:32
37420000|0.0899|1|2023-05-08 19:09:32
37422000|0.0971|1|2023-05-08 19:09:32
37407000|0.0153|0|2023-05-08 19:09:33
37405000|0.0878|0|2023-05-08 19:09:33
37404000|0.0056|0|2023-05-08 19:09:33
37401000|0.1664|0|2023-05-08 19:09:33
37399000|0.0868|0|2023-05-08 19:09:33
37415000|0.1451|1|2023-05-08 19:09:33
37417000|0.0899|1|2023-05-08 19:09:33
37418000|0.0081|1|2023-05-08 19:09:33
37420000|0.0899|1|2023-05-08 19:09:33
37422000|0.0971|1|2023-05-08 19:09:33
37407000|0.0153|0|2023-05-08 19:09:34
37405000|0.0878|0|2023-05-08 19:09:34
37404000|0.0056|0|2023-05-08 19:09:34
37401000|0.1664|0|2023-05-08 19:09:34
37399000|0.0868|0|2023-05-08 19:09:34
37415000|0.1451|1|2023-05-08 19:09:34
37417000|0.0899|1|2023-05-08 19:09:34
37418000|0.0081|1|2023-05-08 19:09:34
37420000|0.0899|1|2023-05-08 19:09:34
37422000|0.0971|1|2023-05-08 19:09:34
37407000|0.0153|0|2023-05-08 19:09:35
37405000|0.0878|0|2023-05-08 19:09:35
37404000|0.0056|0|2023-05-08 19:09:35
37401000|0.1664|0|2023-05-08 19:09:35
37399000|0.0868|0|2023-05-08 19:09:35
37415000|0.1451|1|2023-05-08 19:09:35
37417000|0.0899|1|2023-05-08 19:09:35
37418000|0.0081|1|2023-05-08 19:09:35
37420000|0.0899|1|2023-05-08 19:09:35
37422000|0.0971|1|2023-05-08 19:09:35
37407000|0.0153|0|2023-05-08 19:09:36
37405000|0.0878|0|2023-05-08 19:09:36
37404000|0.0056|0|2023-05-08 19:09:36
37401000|0.1664|0|2023-05-08 19:09:36
37399000|0.0868|0|2023-05-08 19:09:36
37415000|0.1451|1|2023-05-08 19:09:36
37417000|0.0899|1|2023-05-08 19:09:36
37418000|0.0081|1|2023-05-08 19:09:36
37420000|0.0899|1|2023-05-08 19:09:36
37422000|0.0971|1|2023-05-08 19:09:36
37398000|0.0161|0|2023-05-08 19:09:37
37395000|0.0152|0|2023-05-08 19:09:37
37393000|0.1409|0|2023-05-08 19:09:37
37392000|0.1275|0|2023-05-08 19:09:37
37391000|1.3329|0|2023-05-08 19:09:37
37405000|0.3483|1|2023-05-08 19:09:37
37406000|0.0133|1|2023-05-08 19:09:37
37408000|0.0048|1|2023-05-08 19:09:37
37411000|0.0384|1|2023-05-08 19:09:37
37413000|0.1929|1|2023-05-08 19:09:37
37395000|0.01|0|2023-05-08 19:09:38
37393000|0.1409|0|2023-05-08 19:09:38
37392000|0.135|0|2023-05-08 19:09:38
37391000|1.3329|0|2023-05-08 19:09:38
37388000|0.0399|0|2023-05-08 19:09:38
37405000|0.3483|1|2023-05-08 19:09:38
37406000|0.0965|1|2023-05-08 19:09:38
37408000|0.0667|1|2023-05-08 19:09:38
37410000|0.0093|1|2023-05-08 19:09:38
37411000|0.0384|1|2023-05-08 19:09:38
37395000|0.01|0|2023-05-08 19:09:39
37393000|0.1409|0|2023-05-08 19:09:39
37392000|0.135|0|2023-05-08 19:09:39
37391000|0.0409|0|2023-05-08 19:09:39
37388000|0.0399|0|2023-05-08 19:09:39
37405000|0.3483|1|2023-05-08 19:09:39
37406000|0.0965|1|2023-05-08 19:09:39
37408000|0.0667|1|2023-05-08 19:09:39
37410000|0.0093|1|2023-05-08 19:09:39
37411000|0.0384|1|2023-05-08 19:09:39
37395000|0.01|0|2023-05-08 19:09:40
37393000|0.1409|0|2023-05-08 19:09:40
37392000|0.135|0|2023-05-08 19:09:40
37391000|0.0409|0|2023-05-08 19:09:40
37388000|0.0399|0|2023-05-08 19:09:40
37405000|0.3483|1|2023-05-08 19:09:40
37406000|0.0965|1|2023-05-08 19:09:40
37408000|0.0667|1|2023-05-08 19:09:40
37410000|0.0093|1|2023-05-08 19:09:40
37411000|0.0384|1|2023-05-08 19:09:40
37395000|0.01|0|2023-05-08 19:09:41
37393000|0.1409|0|2023-05-08 19:09:41
37392000|0.135|0|2023-05-08 19:09:41
37391000|0.0409|0|2023-05-08 19:09:41
37388000|0.0399|0|2023-05-08 19:09:41
37405000|0.3483|1|2023-05-08 19:09:41
37406000|0.0965|1|2023-05-08 19:09:41
37408000|0.0619|1|2023-05-08 19:09:41
37410000|0.0093|1|2023-05-08 19:09:41
37411000|0.0384|1|2023-05-08 19:09:41
37395000|0.01|0|2023-05-08 19:09:42
37393000|0.1409|0|2023-05-08 19:09:42
37392000|0.135|0|2023-05-08 19:09:42
37391000|0.0409|0|2023-05-08 19:09:42
37388000|0.0399|0|2023-05-08 19:09:42
37405000|0.2452|1|2023-05-08 19:09:42
37406000|0.0965|1|2023-05-08 19:09:42
37408000|0.0619|1|2023-05-08 19:09:42
37410000|0.0093|1|2023-05-08 19:09:42
37411000|0.0384|1|2023-05-08 19:09:42
37395000|0.01|0|2023-05-08 19:09:43
37393000|0.1409|0|2023-05-08 19:09:43
37392000|0.135|0|2023-05-08 19:09:43
37391000|0.0409|0|2023-05-08 19:09:43
37388000|0.0399|0|2023-05-08 19:09:43
37405000|0.2452|1|2023-05-08 19:09:43
37406000|0.0965|1|2023-05-08 19:09:43
37408000|0.0619|1|2023-05-08 19:09:43
37410000|0.0093|1|2023-05-08 19:09:43
37411000|0.0384|1|2023-05-08 19:09:43
37395000|0.01|0|2023-05-08 19:09:44
37393000|0.1409|0|2023-05-08 19:09:44
37392000|0.135|0|2023-05-08 19:09:44
37391000|0.0409|0|2023-05-08 19:09:44
