book-imbalance-0.2-5-1|mid_price|timestamp
-266184.6930091761|34230000.0|2023-06-06 01:56:44
-292537.87679253594|34234000.0|2023-06-06 01:56:44
-309230.6432796296|34234000.0|2023-06-06 01:56:46
-254650.76138158888|34229000.0|2023-06-06 01:56:46
-289351.5497102056|34234000.0|2023-06-06 01:56:48
-273355.9541769553|34234000.0|2023-06-06 01:56:49
-240643.52106453292|34234000.0|2023-06-06 01:56:50
-229002.88236208557|34234000.0|2023-06-06 01:56:51
-228858.0931996677|34234000.0|2023-06-06 01:56:51
-271088.39672004024|34234000.0|2023-06-06 01:56:52
-221697.5580887515|34228500.0|2023-06-06 01:56:53
-214255.4416833766|34228500.0|2023-06-06 01:56:54
-202896.33814690486|34228500.0|2023-06-06 01:56:55
-237094.9641009111|34233000.0|2023-06-06 01:56:57
-236925.26226005293|34233000.0|2023-06-06 01:56:58
-236114.98760565632|34233000.0|2023-06-06 01:56:58
-246297.39203544855|34233000.0|2023-06-06 01:57:00
-246297.39203544855|34233000.0|2023-06-06 01:57:00
-241522.6020309627|34232500.0|2023-06-06 01:57:02
-239154.54623275175|34232500.0|2023-06-06 01:57:02
-189764.1911041226|34232500.0|2023-06-06 01:57:03
-213079.07289756872|34237500.0|2023-06-06 01:57:05
-222292.56740404182|34237500.0|2023-06-06 01:57:06
-222292.56740404182|34237500.0|2023-06-06 01:57:06
-222292.56740404182|34237500.0|2023-06-06 01:57:06
-237685.99063518568|34230500.0|2023-06-06 01:57:08
-231655.8579928268|34230000.0|2023-06-06 01:57:09
-220217.14315229096|34230000.0|2023-06-06 01:57:10
-161049.0044755008|34229500.0|2023-06-06 01:57:11
-162154.9573275741|34237500.0|2023-06-06 01:57:12
-144936.50633964798|34243000.0|2023-06-06 01:57:13
-171845.21951537058|34243000.0|2023-06-06 01:57:14
-170303.19239675888|34243000.0|2023-06-06 01:57:14
-176276.4465886563|34243000.0|2023-06-06 01:57:16
-163368.7936738368|34243000.0|2023-06-06 01:57:17
-161885.96659422107|34243000.0|2023-06-06 01:57:18
-160703.8510272205|34243000.0|2023-06-06 01:57:19
-187192.70614218712|34243500.0|2023-06-06 01:57:21
-177241.9428041734|34243500.0|2023-06-06 01:57:21
-170641.63622260615|34243500.0|2023-06-06 01:57:22
-122619.51003890895|34239500.0|2023-06-06 01:57:23
-124237.0059011735|34239500.0|2023-06-06 01:57:24
-192976.04953077435|34239500.0|2023-06-06 01:57:25
-170777.86305076815|34239500.0|2023-06-06 01:57:26
-170777.86305076815|34239500.0|2023-06-06 01:57:26
-183698.22815223486|34238000.0|2023-06-06 01:57:29
-181825.38217075093|34238000.0|2023-06-06 01:57:29
-161318.2446569681|34238000.0|2023-06-06 01:57:31
-161318.2446569681|34238000.0|2023-06-06 01:57:31
-141181.4445456721|34238000.0|2023-06-06 01:57:32
-106743.44005050622|34238000.0|2023-06-06 01:57:34
-138947.52484528758|34238000.0|2023-06-06 01:57:35
-111483.86459525042|34238000.0|2023-06-06 01:57:36
-141272.7057715729|34242000.0|2023-06-06 01:57:37
-135760.1231241647|34242000.0|2023-06-06 01:57:38
-132457.10236722493|34243500.0|2023-06-06 01:57:39
-153402.70233606733|34244000.0|2023-06-06 01:57:39
-160054.81958876847|34244500.0|2023-06-06 01:57:40
-156571.43425657524|34244500.0|2023-06-06 01:57:42
-174349.49827270358|34244500.0|2023-06-06 01:57:42
-183379.65046489798|34244500.0|2023-06-06 01:57:43
-161041.4634931922|34244500.0|2023-06-06 01:57:45
-162141.38834317066|34244500.0|2023-06-06 01:57:45
-162141.38834317066|34244500.0|2023-06-06 01:57:46
-167874.6971877329|34244500.0|2023-06-06 01:57:47
-143253.24565762206|34244500.0|2023-06-06 01:57:49
-142724.66970290168|34244500.0|2023-06-06 01:57:50
-148613.94159478656|34244500.0|2023-06-06 01:57:50
-125925.44461186044|34244500.0|2023-06-06 01:57:52
-128738.61889551095|34244500.0|2023-06-06 01:57:53
-104855.18565209657|34244500.0|2023-06-06 01:57:54
-131829.99910149723|34249500.0|2023-06-06 01:57:55
-131829.99910149723|34249500.0|2023-06-06 01:57:55
-147779.26116558016|34249500.0|2023-06-06 01:57:56
-104183.81320640705|34247500.0|2023-06-06 01:57:58
-103236.13160255291|34249500.0|2023-06-06 01:57:59
-76786.18327262663|34244000.0|2023-06-06 01:58:00
-104898.2602354981|34249500.0|2023-06-06 01:58:01
-103730.71202285922|34249500.0|2023-06-06 01:58:02
-103730.71202285922|34249500.0|2023-06-06 01:58:02
